loan_id,customer_id,loan_type,loan_amount,outstanding_balance,interest_rate,term_months,delinquency_status,origination_date,monthly_payment,branch_id,source_system,created_at
LN0000001,CUST004414,CREDIT_LINE,9080.27,5254.82,16.46,36,CURRENT,2019-02-27,310.87,BR010,LOAN_ORIGINATION_v2.1,2019-02-27 02:15:10
LN0000002,CUST001041,PERSONAL,17586.99,14312.77,23.53,36,CLOSED,2021-01-12,627.37,BR015,LOAN_ORIGINATION_v2.1,2021-01-12 15:06:02
LN0000003,CUST000991,PERSONAL,45096.07,36759.18,7.42,180,CURRENT,2022-03-04,274.46,BR009,LOAN_ORIGINATION_v2.1,2022-03-04 12:29:56
LN0000004,CUST004760,MORTGAGE,471044.42,357177.93,6.36,48,CURRENT,2021-11-20,12649.67,BR020,LOAN_ORIGINATION_v2.1,2021-11-20 05:58:06
LN0000005,CUST001742,AUTO,50532.36,42567.68,10.91,24,CURRENT,2019-08-05,2192.65,BR001,LOAN_ORIGINATION_v2.1,2019-08-05 07:42:04
LN0000006,CUST004125,AUTO,51125.65,14025.76,17.0,60,CURRENT,2018-07-30,1106.87,BR017,LOAN_ORIGINATION_v2.1,2018-07-30 08:59:25
LN0000007,CUST003403,AUTO,58000.88,17105.53,14.17,84,CURRENT,2021-04-03,764.33,BR008,LOAN_ORIGINATION_v2.1,2021-04-03 21:01:29
LN0000008,CUST004401,MORTGAGE,93699.7,56621.19,15.52,12,CURRENT,2019-07-18,8869.87,BR001,LOAN_ORIGINATION_v2.1,2019-07-18 22:45:05
LN0000009,CUST001352,PERSONAL,28848.88,15251.79,8.0,12,CURRENT,2021-01-27,2728.11,BR008,LOAN_ORIGINATION_v2.1,2021-01-27 16:18:17
LN0000010,CUST003939,MORTGAGE,147692.98,132950.19,9.41,48,CURRENT,2022-01-19,3364.33,BR011,LOAN_ORIGINATION_v2.1,2022-01-19 22:03:14
LN0000011,CUST004552,MORTGAGE,588926.53,413931.42,24.94,180,CURRENT,2019-05-12,4085.96,BR023,LOAN_ORIGINATION_v2.1,2019-05-12 19:40:56
LN0000012,CUST002143,MORTGAGE,157676.36,15804.35,4.76,12,CURRENT,2022-08-18,13248.17,BR021,LOAN_ORIGINATION_v2.1,2022-08-18 11:49:54
LN0000013,CUST003608,PERSONAL,5184.18,2956.03,21.66,24,CLOSED,2019-05-02,238.5,BR008,LOAN_ORIGINATION_v2.1,2019-05-02 14:35:23
LN0000014,CUST001095,AUTO,44661.29,35513.91,6.32,120,CURRENT,2020-10-01,462.94,BR020,LOAN_ORIGINATION_v2.1,2020-10-01 14:38:56
LN0000015,CUST003496,CREDIT_LINE,22394.92,21308.06,5.97,180,CURRENT,2022-05-23,153.89,BR001,LOAN_ORIGINATION_v2.1,2022-05-23 10:47:08
LN0000016,CUST002142,MORTGAGE,182238.33,106533.98,20.57,360,60_DPD,2022-09-08,640.77,BR010,LOAN_ORIGINATION_v2.1,2022-09-08 06:29:58
LN0000017,CUST001766,CREDIT_LINE,11889.0,11404.75,19.28,36,CURRENT,2018-02-06,352.15,BR001,LOAN_ORIGINATION_v2.1,2018-02-06 14:55:13
LN0000018,CUST004905,MORTGAGE,346883.18,188795.48,11.01,120,CURRENT,2022-08-25,3310.94,BR011,LOAN_ORIGINATION_v2.1,2022-08-25 04:04:01
LN0000019,CUST001688,PERSONAL,17566.14,10847.73,5.58,84,CURRENT,2018-01-16,227.73,BR015,LOAN_ORIGINATION_v2.1,2018-01-16 04:19:36
LN0000020,CUST001619,MORTGAGE,209015.98,148284.12,6.25,60,CURRENT,2021-07-04,3932.2,BR011,LOAN_ORIGINATION_v2.1,2021-07-04 23:25:36
LN0000021,CUST000091,MORTGAGE,553861.45,75006.19,20.55,36,90_DPD,2020-06-13,18391.13,BR009,LOAN_ORIGINATION_v2.1,2020-06-13 21:16:01
LN0000022,CUST002453,PERSONAL,16873.68,15456.26,6.64,60,CURRENT,2018-05-23,313.8,BR022,LOAN_ORIGINATION_v2.1,2018-05-23 20:53:05
LN0000023,CUST002951,MORTGAGE,233864.94,45827.53,20.35,60,CLOSED,2019-09-18,4733.65,BR013,LOAN_ORIGINATION_v2.1,2019-09-18 01:49:05
LN0000024,CUST004803,AUTO,63213.17,57205.77,15.53,360,60_DPD,2021-10-04,197.69,BR017,LOAN_ORIGINATION_v2.1,2021-10-04 01:33:28
LN0000025,CUST003530,PERSONAL,43379.56,16623.0,9.32,360,CURRENT,2021-01-23,147.66,BR002,LOAN_ORIGINATION_v2.1,2021-01-23 04:14:50
LN0000026,CUST004669,AUTO,54229.64,36713.24,24.52,180,CURRENT,2021-09-18,309.56,BR015,LOAN_ORIGINATION_v2.1,2021-09-18 22:45:48
LN0000027,CUST001361,PERSONAL,33002.82,21452.99,10.31,360,CURRENT,2021-10-30,93.12,BR006,LOAN_ORIGINATION_v2.1,2021-10-30 03:40:21
